RoomNum	RoomCat	Buzy	Status	NumBeds	NumPeople	RoomType	PBXNumber	Left	Top	Width	Height	RoomName	Kamerierka	ExtBeds	HotelId	Notes
98	4	0	2	2	0	1	,611,	1189	309	35	35	520	60	0	1	0
99	4	2	0	2	1	1	,611,	1189	309	35	35	522	60	0	1	0
100	4	0	2	2	0	1	,611,	1189	309	35	35	524	60	0	1	0
101	4	0	2	2	0	1	,611,	1189	309	35	35	524b	60	1	1	0
102	4	0	0	2	0	1	,611,	1189	309	35	35	524b	62	1	1	0
103	11	0	0	2	0	9	,611,	313	316	35	35	330	64	0	1	0
104	11	0	0	2	0	9	,611,	248	370	35	35	323	64	0	1	0
105	11	0	0	2	0	9	,611,	251	315	35	35	332	64	0	1	0
106	11	0	0	2	0	9	,611,	191	314	35	35	334	64	0	1	0
107	11	0	0	2	0	9	,611,	188	370	35	35	325	64	0	1	0
108	11	0	0	2	0	9	,611,	129	369	35	35	327	64	0	1	0
109	11	0	0	2	0	9	,611,	130	314	35	35	336	64	0	1	0
110	11	0	0	2	0	9	,611,	70	316	35	35	338	64	0	1	0
111	11	0	0	2	0	9	,611,	70	370	35	35	329	64	0	1	0
112	11	0	0	2	0	9	,611,	6	369	35	35	331	64	0	1	0
113	11	0	0	2	0	9	,611,	5	315	35	35	3A	64	0	1	0
114	11	0	0	2	0	9	,611,	0	400	35	35	602	64	1	1	0
115	4	0	0	2	0	1	,611,	0	400	35	35	601	64	0	1	0
116	11	0	0	2	0	9	,611,	0	400	35	35	628	64	0	1	0
117	4	2	0	2	2	1	,611,	0	400	35	35	603	64	0	1	0
118	4	2	0	2	3	1	,611,	0	400	35	35	604	64	0	1	0
119	4	0	0	2	0	1	,611,	0	400	35	35	605	64	0	1	0
120	4	2	0	2	2	1	,611,	0	400	35	35	606	64	0	1	0
121	4	0	0	2	0	1	,611,	0	400	35	35	607	64	0	1	0
122	4	2	0	2	3	1	,611,	0	400	35	35	608	64	0	1	0
123	4	0	0	2	0	1	,611,	0	400	35	35	609	64	0	1	0
124	4	0	2	2	0	1	,611,	0	400	35	35	610	64	0	1	0
125	4	0	0	2	0	1	,611,	0	400	35	35	611	64	0	1	0
126	4	0	0	2	0	1	,611,	0	400	35	35	612	64	0	1	0
127	4	0	2	2	0	1	,611,	0	400	35	35	613	64	0	1	0
128	4	2	0	2	1	1	,611,	0	400	35	35	614	64	0	1	0
129	4	0	2	2	0	1	,611,	0	400	35	35	615	64	0	1	0
130	4	2	0	2	2	1	,611,	0	400	35	35	616	64	0	1	0
131	4	0	2	2	0	1	,611,	0	400	35	35	617	64	0	1	0
132	4	0	2	2	0	1	,611,	0	400	35	35	618	60	0	1	0
133	4	0	2	2	0	1	,611,	0	400	35	35	619	60	0	1	0
134	4	0	2	2	0	1	,611,	0	400	35	35	620	60	0	1	0
135	4	2	0	2	1	1	,611,	0	400	35	35	622	60	0	1	0
136	4	0	2	2	0	1	,611,	0	400	35	35	624	60	0	1	0
137	4	0	2	2	0	1	,611,	0	400	35	35	624b	60	1	1	0
138	4	0	0	2	0	1	,611,	0	400	35	35	624b	62	1	1	0
